,finance_balance,margin_balance,currency,north_money,north_money_net,rate
2017-01-03,9357.5,33.7,6.9498,21.0481,-0.5628999999999991,0.0098
2017-01-04,9345.1,34.4,6.9526,25.2576,-8.2966,0.0001
2017-01-05,9328.2,36.3,6.9307,25.504199999999997,-3.9239999999999995,-0.006500000000000001
2017-01-06,9293.7,34.4,6.8668,20.877299999999998,-15.701,0.0048
2017-01-09,9293.9,37.4,6.9262,24.3805,-0.6541999999999977,-0.0026
2017-01-10,9277.4,37.8,6.9234,22.9176,2.543199999999999,-0.009000000000000001
2017-01-11,9255.0,38.8,6.9235,31.918599999999998,16.8608,-0.0072
2017-01-12,9234.5,37.8,6.9141,26.6946,12.285,-0.0087
2017-01-13,9164.4,37.6,6.8909,31.6422,12.052999999999999,-0.02
2017-01-16,8987.4,40.0,6.8874,31.481499999999997,-8.083000000000004,0.0067
2017-01-17,8972.7,38.9,6.8992,27.3548,10.545800000000002,-0.0003
2017-01-18,8940.1,39.6,6.8525,32.1304,13.913599999999999,-0.0036
2017-01-19,8920.9,37.8,6.8568,27.063499999999998,10.6391,0.0118
2017-01-20,8886.5,34.2,6.8693,28.6448,16.7727,0.0064
2017-01-23,8860.5,34.3,6.8572,28.0774,13.991,-0.0017000000000000001
2017-01-24,8816.4,34.1,6.8331,28.225099999999998,13.654399999999999,0.0031
2017-01-25,8781.2,32.7,6.8596,19.5573,1.744200000000001,0.0053
2017-01-26,8649.0,29.8,6.8588,21.7783,8.613199999999999,-0.004699999999999999
2017-02-03,8696.3,30.4,6.8556,29.1982,13.0867,0.0072
2017-02-06,8743.3,32.2,6.8606,42.355000000000004,27.762700000000002,-0.0005
2017-02-07,8746.5,34.1,6.8604,35.3678,16.321099999999998,0.0063
2017-02-08,8774.0,35.7,6.8849,29.0011,12.1851,0.0059
2017-02-09,8812.5,35.6,6.871,39.3019,18.7181,0.0013
2017-02-10,8794.4,36.5,6.8819,37.9206,16.2104,0.0067
2017-02-13,8845.7,39.1,6.8898,43.0324,16.983500000000003,-0.0002
2017-02-14,8863.6,38.7,6.8806,34.6605,13.466199999999997,-0.0062
2017-02-15,8881.9,45.3,6.8632,48.1118,23.0833,0.0063
2017-02-16,8916.6,41.5,6.8629,35.8124,18.6494,-0.0073
2017-02-17,8900.2,44.1,6.8456,33.1537,12.1927,0.011200000000000002
2017-02-20,8948.4,45.1,6.8743,36.1939,18.3337,0.0064
2017-02-21,8959.3,47.5,6.879,34.1803,13.142299999999999,0.0032
2017-02-22,8981.9,43.3,6.883,31.2076,10.767500000000002,-0.0019
2017-02-23,9013.6,42.6,6.8695,34.6365,14.136599999999998,0.0018
2017-02-24,9013.2,40.3,6.8655,27.701099999999997,7.7147999999999985,-0.0074
2017-02-27,9040.3,40.8,6.8814,32.1306,3.7498000000000005,0.0034999999999999996
